snp	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
M158.2										J2a1h1	J2a1h1	J2a1h1
M1586											O2a2b1a1a5a	O2a2b1a1a5a
M1587										O2a2b1a1		
M158   
(formerly J2a1e)			J2a1d									
M158   
(formerly J2d)	J2a1e	J2a1e										
M158   (location under L24 uncertain)				J2a4h2	J2a4h2							
M159				O3a3a	O3a3a	O3a2a	O3a2a	O3a2a	O3a2a	O2a2a1a1a	O2a2a1a1a	O2a2a1a1a
M1592											H1a1a4b3b1a7	H1a1a4b3b1a7
M1593												O2a2b1a1a5a2
M159   (formerly O3a3)			O3a3a									
M159   (formerly O3c)	O3a3	O3a3										
M16	M2a1	M2a1		M1b1a	M1b1a	M1b1a	M1b1a	M1b1a	M1b1a	M1b1a	M1b1a	M1a2a1a
M160	R1b1c5	R1b1c5	R1b1b2a1b4b	R1b1b2a1a2d2	R1b1b2a1a2d2							
M1602												O2a2b1a1a5a2
M1604												O2a2b1a1a5a2
M1608												O2a2b1a1a5a2
M161			I2a1a	I2a1a		I2a1a1a						b~, 1, 1b, d, 2b, I2a1a1a1a1a1a5, c2a2, c2a3, d1, d1a, d1b, d2, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, 3~, 3a1, 3a2, 4, 4a, 4b, 4b2, 5, 5b1, 5b1a, 5b1a1, 2a1a1a1a1a1a5f, 1c, 1d, 1e
M161 (formerly I1b2a)	I1b1b1	I1b1b1										
M1617												O2a2b1a1a5a2
M1619										O2a2b1a1		
M161   (possibly private)					I2a1a1							
M162				O3a3c1a	O3a3c1a							
M1624											O2a2b1a1a5a	O2a2b1a1a5a
M1627										O2a2b1a1		
M1629												O2a2b1a1a5a2
M162_1						O3a2c1a1	O3a2c1a1	O3a2c1a1	O3a2c1a1			
M162_2						O3a2c1a1	O3a2c1a1	O3a2c1a1	O3a2c1a1			
M162   (formerly O3a5a1)			O3a3c1a									
M162   (formerly O3e1a)	O3a5a1	O3a5a1										
M163	J2a1b2	J2a1b2	J2a1b2	J2a4b2	J2a4b2							
M1636										O2a2b1a1		
M1637												O2a2b1a1a5a2
M1638										O2a2b1a1		
M164			O3a2	O3a2	O3a2	O3a1b	O3a1b	O3a1b	O3a1b	O2a1b	O2a1b~	O2a1b~
M164   (formerly O3b)	O3a2	O3a2										
M165	E3b1b2	E3b1b2	E1b1b1b2a	E1b1b1b2a	E1b1b1b2a	E1b1b1b1b1	E1b1b1b1a2a	E1b1b1b1a2a	E1b1b1b1a1a	E1b1b1b1a1a	E1b1b1b1a1a~	E1b1b1b1a1a~
M1650											O2a2b1a1a5a	O2a2b1a1a5a
M1654										O1b1a2b	O1b1a2b	O1b1a2b
M166			J2a1b2	J2a4b2	J2a4b2		J2a1b2	J2a1b2	J2a1b2	J2a1b2	J2a1b2	J2a1b2
M1667										O2a2b1a	O2a2b1a	J1a2a1a2d2b2b2c4b2b1a1~, O2a2b1a
M1668											H2	H2
M166   
(formerly J2f2)	J2a1b2	J2a1b2										
M167		R1b1c6	R1b1b2a1b3	R1b1b2a1a2c	R1b1b2a1a2c		R1b1a2a1a1b1a2a1	R1b1a2a1a2a1b1a	R1b1a2a1a2a1b1a1	R1b1a2a1a2a1b1a1	R1b1a1a2a1a2a1b1a1	R1b1a1a2a1a2a1b1a1
M1671										O2a2b1a1		
M1672											O2a2b1a1a5a	O2a2b1a1a5a
M168	CR	CR	CF	CF	CF		CT	CT	CT	CT	CT	B~, CT
M1683												O2a2b1a1a5a2
M1688												O2a2b1a1a5a2
M169	B2b2	B2b2	B2b2	B2b2	B2b2	B2b2	B2b2	B2b1a1a	B2b1a1a	B2b1a1a	B2b1a1a	B2b1a1a~
M1692										O2a2b1a1		
M1694											O2a2b1a1a5	O2a2b1a1a5
M1698											O2a2b1a1a5a	O2a2b1a1a5a
M16   (formerly M2a1)			M1b1a									
M17	R1a1	R1a1	R1a1a	R1a1a	R1a1a		R1a1a	R1a1a	R1a1a	R1a1a	R1a1a	R1a1a
M170	I	I	I	I	I	I	I	I	I	I	I	I
M1701											O2a2b1a1a5a	O2a2b1a1a5a
M1702										O2a2b1a1		
M1707											O2a2b1a1a5	O2a2b1a1a5
M1708											O2a2b1a1a5a	O2a2b1a1a5a
M171	A3b2a	A3b2a	A3b2a	A3b2a	A3b2a	A3b2a						
M1719												O2a2b1a1a5a2
M172	J2	J2	J2	J2	J2		J2	J2	J2	J2	J2	J2
M1720										O2a2b1a1		
M1722											O2a2b1a1a5a	O2a2b1a1a5a
M1726											O2a2b1a1a5	O2a2b1a1a5
M173	R1	R1	R1	R1	R1		R1	R1	R1	R1	R1	R1
M1732											O2a2b1a1a5a	O2a2b1a1a5a
M1738									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1739									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M174	D	D	D	D	D		D	D	D	D	D	D
M1740									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1741									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1742									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1743									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1744									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1745									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1746									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1747									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1748									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1749									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M175	O	O	O	O	O	O	O	O	O, Oor K2a2	O [K2a2], Oor K2a2, O	O [K2a2], O	O [K2a2], O
M1750									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1751									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1752									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1753									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1754									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1756									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1757									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1758									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1759									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M176		O2b	O2b	O2b	O2b	O2b	O2b	O2b	O2b	O1b2	O1b2	O1b2
M1760									O	O [K2a2], O		
M1761									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1762									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1763									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1764									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1765									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1766									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1767									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1768									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1769									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M177		K1a	M2a	M2a	M2a	M2a	M2a	M2a	M2a	M2a	M2a	M2a
M1770									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1771									O			
M1772									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1773									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1774									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1775									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1776									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1777									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1778									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1779									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M178	N3a	N3a	N1c1	N1c1	N1c1		N1c1a	N1c1a	N1c1a	N1c1a	N1c1a	N1a1a
M1780									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1781									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1782									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
M1783									O	O [K2a2], O		
M1785											N1d	N1b
M1786											N1d2	N1b2
M1787											N1d2	N1b2
M1789											N1d2	N1b2
M179	D2	D2	D2	D2	D2		D2	D2	D1b	D1b	D1b	D1b
M1790											N1d2	N1b2
M1791											N1d2	N1b2
M1792											N1d2	N1b2
M1794											N1d2	N1b2
M1795^											N1d2	N1b2
M1796											N1d2	N1b2
M1797											N1d2	N1b2
M1799											N1d2	N1b2
M18	R1b1a	R1b1a			R1b1a1		R1b1c1	R1b1c1	R1b1c1	R1b1c1	R1b1a2a	
M180	E3a	E3a	E1b1a	E1b1a	E1b1a	E1b1a1a1	E1b1a1a1	E1b1a1a1	E1b1a1a1	E1b1a1a1	E1b1a1a1, E1b1b1b2a1a4d2b1~	E1b1a1a1, E1b1b1b2a1a4d2b1~
M1800											N1d2	N1b2
M1801											N1d2	N1b2
M1803											N1d2	N1b2
M1804											N1d2	N1b2
M1807^											N1d2	N1b2
M1808											N1d2a2~	N1b2a2~
M1809.2										G2a2b2a1a1b1a1a1	G2a2b2a1a1b1a1a1a1a1	G2a2b2a1a1b1a1a1a1a1
M1809^											N1d2	N1b2
M181	B	B	B	B	B	B	B	B	B	B	B	B
M1810											N1d2	N1b2
M1811											N1d2a	N1b2a
M1812											N1d2a	N1b2a
M1814											N1d2	N1b2
M1819											N1d2	N1b2
M182	B2	B2	B2	B2	B2	B2	B2	B2	B2	B2	B2	B2
M1822^											N1d2	N1b2
M1823											N1d2a	N1b2a
M183	E3b1b2			E1b1b1b2	E1b1b1b2	E1b1b1b1b	E1b1b1b1a2	E1b1b1b1a2	E1b1b1b1a1	E1b1b1b1a1	E1b1b1b1a1	E1b1b1b1a1
M183 (formerly E3b2)		E3b1b										
M1830^											N1d2	N1b2
M1831											N1d	N1b
M1832^											N1d2	N1b2
M1834^											N1d2	N1b2
M1835											N1d2	N1b2
M1837											N1d2	N1b2
M1838											N1d2	N1b2
M183   (formerly E1b1b1b)			E1b1b1b2									
M184	K2	K2	T	T	T		T	T	T, Tor K1b	T [K1b], Tor K1b, T	T [K1b], T	T [K1b], T
M1841											N1d2	N1b2
M1842											N1d2	N1b2
M1843											N1d2a	N1b2a
M1844											N1d	N1b
M1845											N1d2	N1b2
M1846											N1d2	N1b2
M1848											N1d	N1b
M1849											N1d2a	N1b2a
M185	L	L	L	L	L		L	L	L	L [K1a], L	L [K1a]	L [K1a]
M1850											N1d	N1b
M1851											N1d2	N1b2
M1852											N1d2	N1b2
M1853											N1d2	N1b2
M1854											N1d2a	N1b2a
M1855											N1d2	N1b2
M1856											N1d2	N1b2
M1857											N1d2	N1b2
M1858											N1d2a	N1b2a
M1859											N1d2	N1b2
M186	M	M	M1	M1	M1	M1	M1	M1	M1	M1	M1	M1
M1860^											N1d2	N1b2
M1862^											N1d2	N1b2
M1865											N1d	N1b
M1867											N1d2	N1b2
M1868											N1d2	N1b2
M1870											N1d	N1b
M1871											N1d2	N1b2
M1873											N1d	N1b
M1874											N1d	N1b
M1875											N1d	N1b
M1876											N1d2	N1b2
M1878											N1d2a	N1b2a
M188	O3a4a	O3a4a	O3a, O3a3b1	O3a3b1	O3a3b1	O3a2b1	O3a2b1	O3a2b1	O3a2b1	O2a2a	O2a2a	O2a2a
M1880											N1d2	N1b2
M1881											N1d	N1b
M1884											N1d	N1b
M1885^											N1d2a	N1b2a
M1888											N1d	N1b
M1889^											N1d2	N1b2
M189	M	M	M1	M1	M1	M1	M1	M1	M1	M1	M1	M1
M1890											N1d	N1b
M1891											N1d2	N1b2
M1892											N1d2	N1b2
M1893											N1d	N1b
M1894											N1d2a2~	N1b2a2~
M1896											N1d2	N1b2
M1897											N1d2	N1b2
M1898											N1d2	N1b2
M1899											N1d2	N1b2
M18   (position relative to P297 uncertain)			R1b1a	R1b1a								
M19	Q3a	Q3a		Q1a3a1	Q1a3a1a	Q1a3a1a	Q1a3a1a	Q1a2a1a1a	Q1a2a1a1a	Q1a2a1a1a	Q1a2a1a1a	Q1b1a1a1a~
M190	A3b	A3b	A3b	A3b	A3b	A3b	A1b1b2	A1b1b2	A1b1b2	A1b1b2	A1b1b2	A1b1b2
M1901											N1d2	N1b2
M1903^											N1d2a	N1b2a
M1906											N1d2	N1b2
M1908											N1d	N1b
M1909											N1d2	N1b2
M191	E3a7	E3a7	E1b1a7	E1b1a7	E1b1a7	E1b1a1a1f1a	E1b1a1a1f1a	E1b1a1a1f1a	E1b1a1a1c1a	E1b1a1a1c1a	E1b1a1a1a1c1a1, E1b1b1b2a1a4d2b1~	E1b1a1a1a1c1a1, E1b1b1b2a1a4d2b1~
M1912											N1d2	N1b2
M1918											N1d	N1b
M1919											N1d2	N1b2
M192	B2b	B2b	B2b	B2b	B2b	B2b	B2b	B2b1	B2b1	B2b1	B2b1	B2b1
M1921											N1d	N1b
M1923									C2b1a2		N1d2	N1b2
M1928											N1d2	N1b2
M193	K2	K2	T	T	T		T, T1	T1	T1	T	T [K1b], T	T [K1b], T
M194	Q3b	Q3b		Q1a3a2	Q1a3a1b	Q1a3a1b	Q1a3a1b	Q1a2a1a1b	Q1a2a1a1b	Q1a2a1a1b	Q1a2a1a1b	Q1b1a1a1b
M194   (formerly Q3b)			Q1a3a2									
M195	E3a6	E3a6	E1b1a6	E1b1a6	E1b1a6	E1b1a1a1e	E1b1a1a1e	E1b1a1a1e			E1b1b1b2a1a4d2b1~	E1b1b1b2a1a4d2b1~
M196	A2	A2	A2	A2	A2	A2	A1b1a1a	A1b1a1a	A1b1a1a	A1b1a1a	A1b1a1a	A1b1a1a
M197	H1a1	H1a1	H1a1	H1a1	H1a1		H1a1	H1a1	H1a1a1	H1a1a1	H1a1a1a	H1a1a1a
M1978^											N1c1a1a1	
M1979											N1c1a1a1d1a	
M198	R1a1	R1a1	R1a1a	R1a1a	R1a1a		R1a1a	R1a1a	R1a1a	R1a1a	R1a1a	R1a1a
M1980											N1c1a1a1	
M1981											N1c1a1a1	N1~
M1982											N1c1a1a1d1	
M1984											N1c1a1a1d1a1	1a1
M1986											N1c1a1a1	
M1989											N1c1a1a1	
M199	Q3c	Q3c	Q1a3a3	Q1a3a3	Q1a3a1c	Q1a3a1c	Q1a3a1c	Q1a2a1a1c	Q1a2a1a1c	Q1a2a1a1c	Q1a2a1a1c	Q1b1a1a1c
M1992											N1c1a1a1d	
M1994										R1b1a2a1a1c3		
M1996											N1c1a1a1	
M1997^											N1c1a1a1	
M1998											N1c1a1a1	
M1999											N1c1a1a1	
M19   (formerly Q3a)			Q1a3a1									
M2								E1b1a1	E1b1a1	E1b1a1	E1b1a1, E1b1a1~, E1b1b1b2a1a4d2b1~	E1b1a1, E1b1a1~, E1b1b1b2a1a4d2b1~
M2 (SY81) (DYS271)	E3a											
M20	L	L	L	L	L		L	L	L, Lor K1a	L [K1a], Lor K1a, L	L [K1a]	L [K1a]
M200	E2b2a	E2b2a	E2b1a	E2b1a	E2b1a	E2b1a	E2b1a	E2b1a	E2b1a1	E2b1a1	E2b1a1	E2b1a1
M2001											N1c1a1a1	
M2002											N1c1a1a1	
M2004											N1c1a1a1d	
M2005											N1c1a1a, N1c1a1a1	N1a1a1a1
M2006											N1c	N1~, N1a
M2007											N1c1a1a, N1c1a1a1	N1a1a1a1
M201	G	G	G	G	G				G	G	G	G
M2012											N1c1a1a1	
M2013											N1c	N1~, N1a
M2014											N1c1a1a1	
M2015^											N1c1a1a1	
M2017											N1c1a1a1	N1~
M2018											N1c1a1a1	
M2019											N1c1a1a1d	
M202	A3b2	A3b2	A3b2	A3b2	A3b2	A3b2	A1b1b2b	A1b1b2b	A1b1b2b	A1b1b2b	A1b1b2b	A1b1b2b
M2020									H3a2	H3a2		
M2021											N1c1a1a1	
M2023											N1c1a1a1d	
M2024											N1c1a1a	N1a1a1a1
M2025											N1c1a1a1d	
M2027											N1c1a1a1d	
M2028											N1c1a1a1d	
M203	DE	DE	DE	DE	DE		DE	DE	DE	DE	DE	DE
M2031											N [K2a1], N	N [K2a1]~, N~
M2033											N1c1	N1~, N1a1
M2034											N1c1a1a1	
M2035											N1c1a1a1	
M2037											N1c	N1~, N1a
M204	R1a1c	R1a1c	R1a1a3	R1a1a3	R1a1a1c							
M2042											N1c	N1~, N1a
M2043											N1c1a1a1	
M2044											N1c1a1a1	
M2045											N1c1a1a1d	
M2047											N1c1a1a1	
M2048											N1c1a1a1	N1~
M2049											N1c1a1a1	
M205				J2b1	J2b1		J2b1	J2b1	J2b1	J2b1	J2b1	J2b1
M205
    (formerly J2b1b)			J2b1									
M2050											N1c1a1a1d	
M2051											N1c1a1a1	
M2054											N1c1a1a1d	
M2055											N1c1a1a1d	
M2056											N1c1a1a1	
M2057											N1c1a1a1	
M2058											N1c1a1a1d	
M205   
(formerly J2e2	J2b1b	J2b1b										
M206	A2	A2	A2	A2	A2	A2	A1b1a1	A1b1a1	A1b1a1	A1b1a1	A1b1a1	A1b1a1
M2063											N1c1a1a1	N1~
M2064											N1c1a1a1	
M2065											N1c1a1a1	
M2066											N [K2a1], N	N [K2a1]~, N~
M2067											N1c1a1a1	
M2068											N1c1a1a1d	
M2069											N1c1a1a1	
M207		R	R	R	R		R	R	R	R [K2b2a2], Ror K2b2a2, R	R [K2b2a2], Ror
K2b2a2, R	R [K2b2a2], Ror
K2b2a2, R
M207 (UTY2)	R											
M2070											N1c1a1a1	N1~
M2071											N1c1a1a1	
M2072											N1c1a1a1	
M2075											N1c1a1a1	
M2076											N1c1a1a1	
M2078											N1c1a1a, N1c1a1a1	N1a1a1a1
M208	C2b	C2b		C2a	C2a	C2a	C2a	C2a	C1b2a	C1b2a1	C1b2a1	C1b2a1
M2080									N1c1	N1c1	N1c1	N1~, N1a1
M2082											N1c1a1a1	
M2083											N1c1a1a1	
M2085											N1c1a1a1	
M2086											N1c	N1~, N1a
M2087.1									N1c	N1c		
M2087.2									R1b1a2a1a1b1a1a			
M2087.3											J2b~	J2b
M2089											N1c1a1a1	
M208   (formerly C2b)			C2a									
M209	O3a4a			O3a3b1	O3a3b1	O3a2b1	O3a2b1	O3a2b1	O3a2b1	O2a2a1a2	O2a2a1a2	O2a2a1a2
M2090											N1c1a1a1	
M2091											N1c1a1a1, R2a2b1b1a	R2a2b1b1a
M2092												N1~
M2092^											N1c1a1a1	
M2093											N1c1a1a, N1c1a1a1	N1a1a1a1
M2095											N1c1a1a1	
M2096											N1c1a1a, N1c1a1a1	N1a1a1a1
M2097											N1c1a1a1	
M2098											N1c1a1a1	N1~
M2099											N1c	N1~, N1a
M209   (formerly O3a4a)			O3a3b1									
M209   (formerly O3a4a)

�      �      
�      �      
�      �      
O3a3b1*   -

�      �      
�      �      
�      �      
O3a3b1a   N4   (formerly O3a4a1)


�      �      
�      �      
�      �      
O3a3b1b   N5   (formerly O3a4a2)

�      �      
�      �      
�      
O3a3b2   
P164

�      �      
�      �      
O3a3c   M134   (formerly O3a5)

�      �      
�      �      
�      
O3a3c*   -

�      �      
�      �      
�      
O3a3c1   
M117			O3a									
M209   (formerly O3d1)		O3a4a										
M21	I1a2	I1a2	I1a	I1a	I1a	I1a						
M210	C4b	C4b		C4a	C4a	C4a	C4a	C4a	C1c1	C1b2b1	C1b2b1	C1b2b1
M2100											N [K2a1], N	N [K2a1], N
M2101											N1c1a1a1	
M2102											N1c1a1a1d	
M2104											N1c1a1a1	
M2106											N1c1a1a1	
M2107											N1c	N1~, N1a
M2109											N1c1a1a1	
M210   (formerly C4b)			C4a									
M211	B2b4b	B2b4b	B2b4b	B2b4b	B2b4b	B2b4b	B2b4b	B2b1a1c	B2b1a1c	B2b1a1c	B2b1a1c	B2b1a1c1
M2110											N1c1a1a, N1c1a1a1	N1a1a1a1
M2111											N1c1a1a1	
M2112											N1c1a1a1	
M2113											N1c	N1~, N1a
M2114											N1c	N1~, N1a
M2115											N1c1a1a1d	
M2116											N1c1a1a1d	
M2117											N1c1a1a1	
M2118											N1c1a1a1d	
M2119											N1c1a1a1d	
M212	A2	A2	A2	A2	A2	A2	A1b1a1a1	A1b1a1a2a	A1b1a1a2a	A1b1a1a2a	A1b1a1a2a	A1b1a1a2a
M2120											N1c1a1a1d	
M2121											N1c1a1a1	
M2124											N1c1a1a1	
M2126											N1c1a1a1	
M2128											N1c1a1a1	
M2129											N1c1a1a1	
M213	F	F	F	F	F		F	F	F	F	F	F
M2130											N [K2a1], N	N [K2a1], N
M2131											N [K2a1], N	N [K2a1], N
M2133											N [K2a1], N	N [K2a1]~, N~
M2134												N [K2a1], N
M2135											N [K2a1], N	N [K2a1]~, N~
M2136^											N [K2a1], N	N1
M2137											N [K2a1], N	N [K2a1], N
M2138											N [K2a1], N	N [K2a1]~, N~
M2139											N [K2a1], N	N [K2a1]~, N~
M214	NO	NO	NO	NO	NO		NO	NO	NO, NOor K2a	NO1 [K2a], NOor K2a	NO1 [K2a], NOor K2a	NO1 [K2a], NOor K2a
M2140											N [K2a1], N	N [K2a1]~, N~
M2141											N [K2a1], N	N [K2a1], N
M2142											N [K2a1], N	N1
M2143											N [K2a1], N	N [K2a1]~, N~
M2144											N [K2a1], N	N [K2a1], N
M2145											N [K2a1], N	N [K2a1], N
M2146											N [K2a1], N	N [K2a1]~, N~
M2148											N [K2a1], N	N [K2a1], N
M2149											N [K2a1], N	N [K2a1]~, N~
M215	E3b	E3b	E1b1b	E1b1b	E1b1b	E1b1b	E1b1b	E1b1b	E1b1b	E1b1b	E1b1b	E1b1b
M2151											N [K2a1], N	N [K2a1], N
M2152											N [K2a1], N	N [K2a1]~, N~
M2153											N [K2a1], N	N1
M2156											N [K2a1], N	N [K2a1]~, N~
M2158											N [K2a1], N	N [K2a1], N
M2159											N [K2a1], N	N [K2a1], N
M216	C	C							C	C	C	C
M2160											N [K2a1], N	N [K2a1], N
M2161											N [K2a1], N	N [K2a1], N
M2162											N1~	N1
M2164											N [K2a1], N	N [K2a1]~, N~
M2165											N [K2a1], N	N [K2a1]~, N~
M2168											N [K2a1], N	N [K2a1], N
M2169												N [K2a1], N
M217	C3	C3	C3	C3	C3	C3	C3	C3	C2	C2	C2	C2
M2170											N [K2a1], N	N [K2a1]~, N~
M2171											N [K2a1], N	N [K2a1]~, N~
M2172											N [K2a1], N	N [K2a1]~, N~
M2173												N [K2a1], N
M2176											D1b1c1a1b1~	D1b1c1a1b1~
M2177											N [K2a1], N	N [K2a1], N
M2178											N [K2a1], N	N [K2a1]~, N~
M2179											N [K2a1], N	N1
M218	B2a1	B2a1	B2a1	B2a1	B2a1	B2a1	B2a1	B2a1	B2a1	B2a1	B2a1a1	B2a1a1
M2180											N [K2a1], N	N [K2a1]~, N~
M2181											N [K2a1], N	N [K2a1], N
M2182											N [K2a1], N	N [K2a1], N
M2183											N [K2a1], N	N1
M2184											N [K2a1], N	N [K2a1], N
M2185											N [K2a1], N	N [K2a1], N
M2186											N1~	N1~
M2187											N [K2a1], N	N [K2a1], N
M2188									N	N	N	N [K2a1], N
M2189											N [K2a1], N	N [K2a1], N
M219	A3b2	A3b2	A3b2	A3b2	A3b2	A3b2	A1b1b2b	A1b1b2b	A1b1b2b	A1b1b2b	A1b1b2b	A1b1b2b
M2190											N [K2a1], N	N [K2a1], N
M2191											N [K2a1], N	N1
M2192												N [K2a1]~, N~
M2192^											N [K2a1], N	
M2193											N [K2a1], N	N [K2a1]~, N~
M2194											N1~	N1
M2196											N [K2a1], N	N [K2a1]~, N~
M2199											N [K2a1], N	N [K2a1], N
M22	L	L	L	L	L		L1	L1	L1	L1		
M220	A3b	A3b	A3b	A3b	A3b	A3b	A1b1b2	A1b1b2	A1b1b2	A1b1b2	A1b1b2	A1b1b2
M2200											N [K2a1], N	N [K2a1], N
M2201											N [K2a1], N	N [K2a1]~, N~
M2202											N1~	N1
M2203											N [K2a1], N	N [K2a1]~, N~
M2204											N [K2a1], N	N [K2a1], N
M2205											N [K2a1], N	N [K2a1], N
M2206											N [K2a1], N	N [K2a1], N
M2208^											N [K2a1], N, N1c1a1a1	N1
M2209											N [K2a1], N	N [K2a1], N
M221	J2b		J2b	J2b	J2b		J2b	J2b	J2b	J2b	J2b	J2b
M2210											N [K2a1], N	N [K2a1], N
M2211^											N [K2a1], N	N [K2a1], N
M2212											N [K2a1], N	N [K2a1]~, N~
M2213											N [K2a1], N	N [K2a1]~, N~
M2214											N [K2a1], N	N
M2215											N [K2a1], N	N [K2a1]~, N~
M2218											N1~	N1
M221    (formerly J2e)		J2b										
M222	R1b1c7	R1b1c7	R1b1b2a1b6b	R1b1b2a1a2f2	R1b1b2a1a2f2		R1b1a2a1a1b3a1a1	R1b1a2a1a2c1a1a1	R1b1a2a1a2c1a1a1	R1b1a2a1a2c1a1a1a1	R1b1a1a2a1a2c1a1a1a1a	R1b1a1a2a1a2c1a1a1a1a1
M2220											N [K2a1], N	N [K2a1]~, N~
M2221											N [K2a1], N	N
M2222											N [K2a1], N	N [K2a1], N
M2223											N [K2a1], N	N [K2a1]~, N~
M2224											N [K2a1], N	N [K2a1], N
M2225											N [K2a1], N	N [K2a1], N
M2226											N [K2a1], G2a2b2a1a1b1a1a2a9~, N	N [K2a1], G2a2b2a1a1b1a1a2a9, N
M2227											N [K2a1], N	N [K2a1]~, N~
M2228											N1~	N1
M2229											N1~	N1
M223	I1b2a	I1b2a	I2b1	I2b1	I2b1	I2a2a	I2a2a	I2a2a	I2a2a	I2a2a	I2a2a	I2a2a
M2230											N [K2a1], N	N
M2231											N [K2a1], N	N [K2a1]~, N~
M2232											N [K2a1], N	N [K2a1]~, N~
M2233^											N [K2a1], N	N [K2a1], N
M2234											N1~	N1
M2235											N [K2a1], N	N [K2a1]~, N~
M2236											N [K2a1], N	N [K2a1]~, N~
M2237											N [K2a1], N	N
M2238											N [K2a1], N	N [K2a1]~, N~
M2239^											N [K2a1], N	N
M224	E3b1a1a		E1b1b1a1a	E1b1b1a1a	E1b1b1a1a	E1b1b1a1a1	E1b1b1a1a1	E1b1b1a1a1a	E1b1b1a1a1a	E1b1b1a1a1a	E1b1b1a1a1a~	E1b1b1a1a1a~
M224 (formerly E3b1b		E3b1a2b										
M2240											N [K2a1], N	N1
M2241											N [K2a1], N	N [K2a1], N
M2242											N [K2a1], N	N [K2a1]~, N~
M2243											N [K2a1], N	N [K2a1]~, N~
M2244											N [K2a1], N	N [K2a1]~, N~
M2245											N [K2a1], N	N
M2246											N [K2a1], N	N [K2a1], N
M2248											N [K2a1], N	N [K2a1]~, N~
M2250											N [K2a1], N	N
M2251											N [K2a1], N	N [K2a1], N
M2252											N [K2a1], N	N
M2253											N [K2a1], N	N
M2254											N [K2a1], N	N [K2a1]~, N~
M2255											N1~	N1
M2256											N [K2a1], N	N [K2a1]~, N~
M2257											N [K2a1], N	N1
M2258											N [K2a1], N	N [K2a1], N
M2259											N [K2a1], N	N [K2a1], N
M226	K5a1	K5a1		S1d	S1d	S1d	S1d	S1d				
M226.1										S1d		
M226.2									D2	D2	D2	D2
M2260											N [K2a1], N	N [K2a1], N
M2261											N1~	N1
M2262											N [K2a1], N	N [K2a1], N
M2263											N [K2a1], N [K2a1], N, N	N [K2a1], N [K2a1]~, N, N~
M2265												N [K2a1]~, N~
M2265^											N [K2a1], N	
M2266											N [K2a1], N	N [K2a1]~, N~
M2267												N1
M2268											R1b1a1a2a1a1g2	R1b1a1a2a1a1g2
M226   (formerly K5a1)			S1d									
M227				I1b	I1b	I1b	I1a1	I1a1a	I1a1a	I1a1a	I1a1a	I1a1a1a1a
M2270^											N [K2a1], N	N [K2a1], N
M2271											N [K2a1], N	N [K2a1]~, N~
M2272											N [K2a1], N	N [K2a1]~, N~
M2273												N [K2a1]~, N~
M2273^											N [K2a1], N	
M2274											N [K2a1], N	N [K2a1]~, N~
M2275											N [K2a1], N	N [K2a1], N
